Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
American Beauty,Belleza americana,1999,8.3,122,C,Drama,Un padre de clase media sexualmente frustrado sufre una crisis de los 40 tras enamorarse de la mejor amiga de su hija.,https://www.imdb.com/title/tt0169547/,Ninguna Plataforma
Das Boot,El submarino,1981,8.4,149,B,"Drama, Guerra","El claustrofóbico mundo de un submarino de la Segunda Guerra Mundial, lleno de aburrimiento, suciedad y terror.",https://www.imdb.com/title/tt0082096/,Ninguna Plataforma
Braveheart,Corazón valiente,1995,8.3,178,C,"Biografía, Drama, Guerra",El guerrero escocés William Wallace guía a sus compatriotas en la rebelión para liberar a su tierra contra la tiranía del rey Eduardo I de Inglaterra.,https://www.imdb.com/title/tt0112573/,Disney Plus
Mononoke-hime,La princesa Mononoke,1997,8.3,133,B,"Animación, Aventura, Fantasía","En un viaje para descubrir la cura de la maldición de Tatarigami, Ashitaka se encuentra en medio de una guerra entre los dioses del bosque y Tatara, una colonia minera. En esta búsqueda también conoce a San, la Princesa Mononoke.",https://www.imdb.com/title/tt0119698/,Netflix
Kimi no na wa.,Your Name.,2016,8.4,106,A,"Animación, Drama, Fantasía","Dos extraños se encuentran vinculados de una manera extraña, pero, cuando se forma una conexión, ¿será la distancia lo único que los mantendrá separados?",https://www.imdb.com/title/tt5311514/,Crunchyroll
Tengoku to jigoku,Cielo e infierno,1963,8.4,143,18+,"Crimen, Drama, Misterio",Un ejecutivo de una compañía zapatera es víctima de un chantaje: el hijo de su chófer es secuestrado y piden un rescate por él.,https://www.imdb.com/title/tt0057565/,Ninguna Plataforma
3 Idiots,3 Idiots,2009,8.4,170,0+,"Comedia, Drama","Dos amigos buscan a su compañero perdido. Recuerdan sus días de universidad y como su amigo les inspiró a pensar de forma diferente, incluso cuando el resto del mundo los llamó ""idiotas"".",https://www.imdb.com/title/tt1187043/,Ninguna Plataforma
Joker,Guasón,2019,8.3,122,B15,"Crimen, Drama, Suspenso","En Ciudad Gótica, Arthur Fleck, un comediante con problemas mentales, es marginado y maltratado por la sociedad. Esto lo lleva a descender a un espiral de revuelta y crimen donde conoce a su alter-ego: El Joker.",https://www.imdb.com/title/tt7286456/,Max
Once Upon a Time in America,Érase una vez en América,1984,8.3,229,C,"Crimen, Drama","Un exgánster judío de la época de la Ley seca regresa a Manhattan más de treinta años después, donde una vez más debe enfrentarse a los fantasmas y arrepentimientos de su antigua vida.",https://www.imdb.com/title/tt0087843/,Disney Plus
Capharnaüm,Cafarnaúm: la ciudad olvidada,2018,8.4,126,B,Drama,"Mientras cumple una sentencia de cinco años por un crimen violento, un niño de 12 años demanda a sus padres por negligencia.",https://www.imdb.com/title/tt8267604/,Ninguna Plataforma
Singin' in the Rain,Cantando bajo la lluvia,1952,8.3,103,A,"Comedia, Musical, Romance",Una compañía de cine mudo pasa a incorporar sonido.,https://www.imdb.com/title/tt0045152/,Max
Idi i smotri,Ven y mira,1985,8.3,142,B15,"Drama, Suspenso, Guerra","Después de encontrar un viejo rifle, un joven se une al movimiento de resistencia soviético contra las despiadadas fuerzas alemanas y experimenta los horrores de la Segunda Guerra Mundial.",https://www.imdb.com/title/tt0091251/,Ninguna Plataforma
Requiem for a Dream,Réquiem por un sueño,2000,8.3,102,C,Drama,Las utopías inducidas por las drogas en cuatro personas de Coney Island se rompen cuando sus adicciones son profundas.,https://www.imdb.com/title/tt0180093/,Ninguna Plataforma
Toy Story 3,Toy Story 3,2010,8.3,103,AA,"Animación, Aventura, Comedia","Los juguetes terminan por error en una guardería en lugar del ático de Andy, justo antes que este se vaya a la universidad. Ahora dependerá de Woody convencer a los otros juguetes de que no fueron abandonados y regresar a casa.",https://www.imdb.com/title/tt0435761/,Disney Plus
Star Wars: Episode VI - Return of the Jedi,El regreso del jedi,1983,8.3,131,A,"Acción, Aventura, Fantasía","Tras una atrevida misión para rescatar a Han Solo de la cabaña de Jabba, los rebeldes parten hacían Endor para destruir la más poderosa Estrella de la Muerte. Mientras tanto, Luke intenta traer a Darth Vader de vuelta del lado oscuro, sin caer en la trampa del Emperador.",https://www.imdb.com/title/tt0086190/,Disney Plus
Jagten,La caza,2012,8.3,115,B,Drama,"Un profesor vive una vida solitaria mientras lidia con la batalla por la custodia de su hijo. Su suerte parece mejorar cuando encuentra el amor, pero pronto vera su vida echa añicos a causa de una pequeña mentira piadosa.",https://www.imdb.com/title/tt2106476/,Ninguna Plataforma
Eternal Sunshine of the Spotless Mind,Eterno resplandor de una mente sin recuerdos,2004,8.3,108,B15,"Drama, Romance, Ciencia ficción","Cuando su relación se vuelve amarga, una pareja se somete a un procedimiento médico para borrarse mutuamente sus recuerdos.",https://www.imdb.com/title/tt0338013/,"Amazon Prime Video, Max, Netflix"
Ikiru,Vivir,1952,8.3,143,A,Drama,Un burócrata trata de encontrar el significado de la vida tras descubrir que tiene un cáncer terminal.,https://www.imdb.com/title/tt0044741/,Ninguna Plataforma
2001: A Space Odyssey,2001. Odisea del espacio,1968,8.3,149,B,"Aventura, Ciencia ficción","Después de descubrir un artefacto misterioso enterrado debajo de la superficie lunar, la humanidad emprende una búsqueda para encontrar sus orígenes con la ayuda de una supercomputadora inteligente.",https://www.imdb.com/title/tt0062622/,Max
Reservoir Dogs,Perros de reserva,1992,8.3,99,C,"Crimen, Suspenso","Cuando un robo de joyas sale terriblemente mal, los criminales comienzan a sospechar que uno de ellos es un informante de la policía.",https://www.imdb.com/title/tt0105236/,Amazon Prime Video
The Apartment,Piso de soltero,1960,8.3,125,B,"Comedia, Drama, Romance",Un hombre intenta ascender en su compañía dejando que sus ejecutivos usen su departamento para citas.,https://www.imdb.com/title/tt0053604/,Amazon Prime Video
